Gene	Product	Virulence?
dcuA	C4-dicarboxylate transporter DcuA	No
dcuB	anaerobic C4-dicarboxylate transporter DcuB	No
dcuC	anaerobic C4-dicarboxylate transporter DcuC	No
dcuD	putative transporter DcuD	No
dcuR	DNA-binding transcriptional activator DcuR	No
dcuS	sensor histidine kinase DcuS	No
dcyD	D-cysteine desulfhydrase	No
ddlA	D-alanine--D-alanine ligase A	No
ddlB	D-alanine--D-alanine ligase B	No
ddpA	putative D,D-dipeptide ABC transporter	No
ddpB	putative D,D-dipeptide ABC transporter membrane	No
ddpC	putative D,D-dipeptide ABC transporter membrane	No
ddpD	putative D,D-dipeptide ABC transporter	No
ddpF	putative D,D-dipeptide ABC transporter	No
ddpX	D-alanyl-D-alanine dipeptidase	No
deaD	ATP-dependent RNA helicase DeaD	No
decR	DNA-binding transcriptional activator DecR	No
dedA	DedA family protein DedA	No
dedD	cell division protein DedD	No
def	peptide deformylase	No
degP	periplasmic serine endoprotease DegP	No
degQ	periplasmic serine endoprotease	No
degS	serine endoprotease	No
deoA	thymidine phosphorylase	No
deoB	phosphopentomutase	No
deoC	deoxyribose-phosphate aldolase	No
deoD	purine nucleoside phosphorylase	No
deoR	DNA-binding transcriptional repressor DeoR	No
der	50S ribosomal subunit stability factor	No
dfp	fused 4'-phosphopantothenoylcysteine	No
dgcC	diguanylate cyclase DgcC	No
dgcE	diguanylate cyclase DgcE	No
dgcF	putative diguanylate cyclase DgcF	No
dgcI	putative diguanylate cyclase DgcI	No
dgcJ	diguanylate cyclase DgcJ	No
dgcM	diguanylate cyclase DgcM	No
dgcN	diguanylate cyclase DgcN	No
dgcP	diguanylate cyclase DgcP	No
dgcQ	diguanylate cyclase DgcQ	No
dgcT	putative diguanylate cyclase DgcT	No
dgcZ	diguanylate cyclase DgcZ	No
dgkA	diacylglycerol kinase	No
dgoA	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	No
dgoD	D-galactonate dehydratase	No
dgoK	2-dehydro-3-deoxygalactonokinase	No
dgoR	DNA-binding transcriptional regulator DgoR	No
dgoT	D-galactonate:H(+) symporter	No
dgt	dGTP triphosphohydrolase	No
dhaK	dihydroxyacetone kinase subunit K	No
